Bad input	t_id	chr	strand	start	end	t_name	num_exons	length	gene_id	gene_name	cov	FPKM

Bad input	1	3R	-	722370	722621	FBtr0114258	1	252	FBgn0085804	CR41571	0.000000	0.000000

Bad input	2	3R	+	835381	2503907	FBtr0346770	20	6213	FBgn0267431	CG45784	0.000000	0.000000

Bad input	3	3R	+	1031171	1031354	FBtr0302440	1	184	FBgn0039987	CR12798	0.000000	0.000000

Bad input	4	3R	-	2156916	2157206	FBtr0302347	1	291	FBgn0058182	CR40182	14.020618	17.202570

Bad input	5	3R	-	2554124	3263573	FBtr0346769	19	6420	FBgn0267430	CG45783	0.000000	0.000000

Bad input	6	3R	-	2744304	2744800	FBtr0345282	2	438	FBgn0266747	CR45220	0.000000	0.000000

Bad input	7	3R	-	2744305	2744800	FBtr0345281	1	496	FBgn0266747	CR45220	0.231855	0.284474

Bad input	8	3R	+	3322810	3354486	FBtr0300207	2	1767	FBgn0086917	spok	0.000000	0.000000

 P35875	9	3R	-	3461351	3587054	FBtr0113885	6	3112	FBgn0010247	Parp	20.607738	25.284622

Bad input	10	3R	+	3623143	3627690	FBtr0301810	3	1290	FBgn0086378	Alg-2	18.576571	22.792486

Bad input	11	3R	+	3734855	3745306	FBtr0113895	3	961	FBgn0263977	Tim17b	63.253311	77.608521

Bad input	12	3R	+	3734929	3745306	FBtr0345179	3	887	FBgn0263977	Tim17b	69.225914	84.936600

Bad input	13	3R	+	3750363	3752353	FBtr0301812	2	364	FBgn0069923	CG41128	30.089560	36.918327

Bad input	14	3R	+	3846729	3867684	FBtr0113990	7	3594	FBgn0039955	CG41099	0.000000	0.000000

Bad input	15	3R	+	3846729	3867684	FBtr0113991	8	3669	FBgn0039955	CG41099	0.000000	0.000000

Bad input	16	3R	+	3846729	3867980	FBtr0344573	7	3869	FBgn0039955	CG41099	0.000000	0.000000

Bad input	17	3R	+	3846729	3868401	FBtr0113989	7	4294	FBgn0039955	CG41099	27.157639	33.321011

Bad input	18	3R	+	4077939	4104326	FBtr0336454	12	4915	FBgn0259821	CG42402	0.000000	0.000000

Bad input	19	3R	+	4077939	4104326	FBtr0339974	11	4654	FBgn0259821	CG42402	0.000000	0.000000

Bad input	20	3R	+	4084036	4104326	FBtr0301942	11	4016	FBgn0259821	CG42402	0.000000	0.000000

Bad input	21	3R	+	4126442	4137882	FBtr0113694	8	2601	FBgn0027341	Gfat1	0.000000	0.000000

Bad input	22	3R	+	4126442	4137882	FBtr0302850	9	2628	FBgn0027341	Gfat1	0.000000	0.000000

Bad input	23	3R	+	4130521	4137882	FBtr0113687	9	2426	FBgn0027341	Gfat1	0.000000	0.000000

Bad input	24	3R	+	4130521	4137882	FBtr0113690	9	2290	FBgn0027341	Gfat1	0.000000	0.000000

Bad input	25	3R	+	4130521	4137882	FBtr0113692	8	2363	FBgn0027341	Gfat1	0.000000	0.000000

Bad input	26	3R	+	4130521	4137882	FBtr0302846	10	2538	FBgn0027341	Gfat1	0.000000	0.000000

Bad input	27	3R	+	4130521	4137882	FBtr0302847	5	3726	FBgn0027341	Gfat1	0.000000	0.000000

Bad input	28	3R	+	4130521	4137882	FBtr0302848	9	2390	FBgn0027341	Gfat1	0.000000	0.000000

Bad input	29	3R	+	4130521	4137882	FBtr0302849	7	2339	FBgn0027341	Gfat1	0.000000	0.000000

Bad input	30	3R	-	4137894	4138652	FBtr0114267	3	614	FBgn0085812	CR41601	0.000000	0.000000

Bad input	31	3R	-	4160610	4162235	FBtr0333189	2	1567	FBgn0058198	CG40198	0.000000	0.000000

Bad input	32	3R	-	4161508	4162235	FBtr0301809	2	669	FBgn0058198	CG40198	0.000000	0.000000

Bad input	33	3R	+	4174632	4184473	FBtr0078962	3	3183	FBgn0037213	CG12581	117.739143	144.459808

Bad input	34	3R	+	4174632	4186751	FBtr0078961	4	5393	FBgn0037213	CG12581	4.822415	5.916852

Bad input	35	3R	+	4186963	4196210	FBtr0308946	6	1923	FBgn0053294	CR33294	0.000000	0.000000

 P09040	36	3R	-	4189692	4190260	FBtr0078989	1	569	FBgn0000500	Dsk	0.000000	0.000000

Bad input	37	3R	+	4191285	4196210	FBtr0308945	5	2046	FBgn0053294	CR33294	0.000000	0.000000

Bad input	38	3R	+	4197206	4204572	FBtr0078964	9	3035	FBgn0037215	CG12582	7.414940	9.097745

Bad input	39	3R	+	4197206	4204572	FBtr0306022	10	2922	FBgn0037215	CG12582	0.000000	0.000000

Bad input	40	3R	+	4197206	4204572	FBtr0336703	9	3073	FBgn0037215	CG12582	0.000000	0.000000

Bad input	41	3R	+	4197206	4204572	FBtr0336704	9	3029	FBgn0037215	CG12582	0.000000	0.000000

Bad input	42	3R	+	4197308	4204565	FBtr0336702	8	3100	FBgn0037215	CG12582	2.662206	3.266388

Bad input	43	3R	-	4204493	4215314	FBtr0078988	2	1462	FBgn0037217	CG14636	0.000000	0.000000

Bad input	44	3R	-	4204493	4215314	FBtr0111206	2	1485	FBgn0037217	CG14636	0.000000	0.000000

Bad input	45	3R	+	4211783	4227518	FBtr0078965	13	4410	FBgn0037218	aux	0.000000	0.000000

Bad input	46	3R	-	4218463	4220130	FBtr0078987	1	1668	FBgn0051516	CG31516	0.205036	0.251568

Bad input	47	3R	+	4220986	4227518	FBtr0078966	9	4312	FBgn0037218	aux	27.063650	33.205692

Bad input	48	3R	+	4220986	4227518	FBtr0336705	9	4276	FBgn0037218	aux	0.541507	0.664401

Bad input	49	3R	+	4220986	4227518	FBtr0336706	9	4288	FBgn0037218	aux	0.000000	0.000000

 Q9VMY9	50	3R	-	4227387	4229238	FBtr0078986	5	1590	FBgn0261436	DhpD	0.000000	0.000000

Bad input	51	3R	-	4230779	4232342	FBtr0078985	1	1564	FBgn0037220	CG14641	194.670853	238.851013

 Q9V3C0	52	3R	+	4233047	4235041	FBtr0078967	1	1995	FBgn0015331	abs	32.944862	40.421635

 Q07171	53	3R	+	4235217	4241057	FBtr0078968	8	2836	FBgn0010225	Gel	0.000000	0.000000

 Q07171	54	3R	+	4235217	4241057	FBtr0078969	10	2940	FBgn0010225	Gel	0.000000	0.000000

 Q07171	55	3R	+	4235217	4241057	FBtr0078973	8	2807	FBgn0010225	Gel	0.000000	0.000000

 Q07171	56	3R	+	4235217	4241057	FBtr0309256	9	2897	FBgn0010225	Gel	0.000000	0.000000

 Q07171	57	3R	+	4235217	4241057	FBtr0336707	7	2584	FBgn0010225	Gel	0.000000	0.000000

 Q07171	58	3R	+	4236788	4241057	FBtr0078971	7	2628	FBgn0010225	Gel	0.000000	0.000000

 Q07171	59	3R	+	4236788	4241057	FBtr0309257	8	2839	FBgn0010225	Gel	0.000000	0.000000

Bad input	60	3R	-	4241045	4242717	FBtr0089688	5	1344	FBgn0037222	CG14642	0.000000	0.000000

Bad input	61	3R	-	4241045	4242717	FBtr0309258	6	1305	FBgn0037222	CG14642	0.000000	0.000000

Bad input	62	3R	-	4241200	4242717	FBtr0089687	5	1270	FBgn0037222	CG14642	0.000000	0.000000

Bad input	63	3R	-	4242785	4243146	FBtr0112501	2	300	FBgn0085334	CG34305	0.000000	0.000000

Bad input	64	3R	+	4243606	4245511	FBtr0113190	3	1074	FBgn0037223	TwdlU	0.000000	0.000000

Bad input	65	3R	+	4247020	4248313	FBtr0078975	2	1235	FBgn0037224	TwdlF	0.000000	0.000000

Bad input	66	3R	-	4248723	4249969	FBtr0336709	3	1013	FBgn0037225	TwdlG	0.000000	0.000000

Bad input	67	3R	-	4248723	4250796	FBtr0078982	4	1620	FBgn0037225	TwdlG	0.000000	0.000000

Bad input	68	3R	-	4248723	4251341	FBtr0346145	4	2165	FBgn0037225	TwdlG	0.000000	0.000000

Bad input	69	3R	-	4251894	4253043	FBtr0078981	3	1034	FBgn0250821	CG14644	0.000000	0.000000

Bad input	70	3R	-	4251894	4253043	FBtr0336708	3	995	FBgn0250821	CG14644	0.000000	0.000000

Bad input	71	3R	+	4254708	4255833	FBtr0078976	2	1067	FBgn0037227	TwdlV	0.000000	0.000000

 P82986	72	3R	+	4256972	4258444	FBtr0078977	6	1158	FBgn0041621	Or82a	0.000000	0.000000

Bad input	73	3R	+	4266770	4268316	FBtr0336480	2	1492	FBgn0037228	CG1092	0.000000	0.000000

Bad input	74	3R	+	4266952	4268316	FBtr0336481	2	1310	FBgn0037228	CG1092	0.000000	0.000000

Bad input	75	3R	-	4269221	4277928	FBtr0113191	4	1502	FBgn0037229	CG9766	0.000000	0.000000

Bad input	76	3R	-	4279673	4280057	FBtr0346235	1	385	FBgn0267157	CR45597	0.000000	0.000000

 Q8IPM8	77	3R	+	4280221	4301541	FBtr0078897	7	3628	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	78	3R	+	4280221	4304604	FBtr0336482	5	9682	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	79	3R	+	4280385	4301541	FBtr0078898	7	3577	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	80	3R	+	4280385	4301541	FBtr0078899	7	3930	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	81	3R	+	4280385	4301541	FBtr0301768	7	5137	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	82	3R	+	4280385	4301541	FBtr0301769	7	3538	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	83	3R	+	4281705	4301541	FBtr0078900	7	3650	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	84	3R	+	4281705	4304604	FBtr0078902	6	2888	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	85	3R	+	4281838	4301541	FBtr0113338	7	3649	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	86	3R	+	4281838	4301541	FBtr0113340	7	3576	FBgn0041605	cpx	0.000000	0.000000

